Date : 2020-12-10 17:43:29
Directory : c:\Repos\rayex
Total : 4640 files,  856127 codes, 59708 comments, 59332 blanks, all 975167 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base1_3_013_00_01_t_00_01_q_00_01_e0_00_01_e1_00_01_e2_00-1_00_01_aligned_01_4.html             | HTML         |        161 |          5 |          6 |        172 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base1_3_013_00_01_t_00_01_q_00_01_e0_00_01_e1_00_01_e2_00-1_00_01_aligned_01_4.js               | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base1_3_014_00_01_t_00_01_q_00_01_e0_00_01_e1_00_01_e2_00_01_e3_00_01_aligned_01_4-members.html | HTML         |        110 |          5 |          4 |        119 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base1_3_014_00_01_t_00_01_q_00_01_e0_00_01_e1_00_01_e2_00_01_e3_00_01_aligned_01_4.html         | HTML         |        161 |          5 |          6 |        172 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base1_3_014_00_01_t_00_01_q_00_01_e0_00_01_e1_00_01_e2_00_01_e3_00_01_aligned_01_4.js           | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2-members.html                                                                              | HTML         |        118 |          5 |          4 |        127 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2.html                                                                                      | HTML         |        418 |          5 |         22 |        445 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2.js                                                                                        | JavaScript   |         17 |          0 |          0 |         17 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__div-members.html                                                                   | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__div.html                                                                           | HTML         |        152 |          5 |          6 |        163 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__div.js                                                                             | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__equal-members.html                                                                 | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__equal.html                                                                         | HTML         |        152 |          5 |          6 |        163 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__equal.js                                                                           | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__minus-members.html                                                                 | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__minus.html                                                                         | HTML         |        152 |          5 |          6 |        163 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__minus.js                                                                           | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__mul-members.html                                                                   | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__mul.html                                                                           | HTML         |        152 |          5 |          6 |        163 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__mul.js                                                                             | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__plus-members.html                                                                  | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__plus.html                                                                          | HTML         |        152 |          5 |          6 |        163 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_1_1op__plus.js                                                                            | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_3_01_n_00_01_t_00_01_q_00_01_e0_00_01_e1_00_01_e2_00_01_e3_00_011_01_4-members.html       | HTML         |        111 |          5 |          4 |        120 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_3_01_n_00_01_t_00_01_q_00_01_e0_00_01_e1_00_01_e2_00_01_e3_00_011_01_4.html               | HTML         |        197 |          5 |          8 |        210 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_3_01_n_00_01_t_00_01_q_00_01_e0_00_01_e1_00_01_e2_00_01_e3_00_011_01_4.js                 | JavaScript   |          6 |          0 |          0 |          6 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1__swizzle__base2_3_01_n_00_01_t_00_01_q_00_01_e0_00_01_e1_00_01_e2_00_01_e3_00_011_01_4_1_1_stub.html      | HTML         |        106 |          5 |          4 |        115 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1cast-members.html                                                                                          | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1cast.html                                                                                                  | HTML         |        129 |          5 |          5 |        139 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1cast.js                                                                                                    | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1cast_3_01float_01_4-members.html                                                                           | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1cast_3_01float_01_4.html                                                                                   | HTML         |        127 |          5 |          5 |        137 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1cast_3_01float_01_4.js                                                                                     | JavaScript   |          4 |          0 |          0 |          4 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__abs.html                                                                                          | HTML         |        106 |          5 |          4 |        115 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__abs_3_01gen_f_i_type_00_01false_01_4-members.html                                                 | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__abs_3_01gen_f_i_type_00_01false_01_4.html                                                         | HTML         |        142 |          5 |          6 |        153 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__abs_3_01gen_f_i_type_00_01true_01_4-members.html                                                  | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__abs_3_01gen_f_i_type_00_01true_01_4.html                                                          | HTML         |        142 |          5 |          6 |        153 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__abs__vector-members.html                                                                          | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__abs__vector.html                                                                                  | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__are_collinear.html                                                                                | HTML         |        105 |          5 |          3 |        113 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__are_collinear_3_012_00_01_t_00_01_q_01_4-members.html                                             | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__are_collinear_3_012_00_01_t_00_01_q_01_4.html                                                     | HTML         |        157 |          5 |          5 |        167 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__are_collinear_3_013_00_01_t_00_01_q_01_4-members.html                                             | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__are_collinear_3_013_00_01_t_00_01_q_01_4.html                                                     | HTML         |        157 |          5 |          5 |        167 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__are_collinear_3_014_00_01_t_00_01_q_01_4-members.html                                             | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__are_collinear_3_014_00_01_t_00_01_q_01_4.html                                                     | HTML         |        157 |          5 |          5 |        167 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__bitfield_bit_count_step-members.html                                                              | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__bitfield_bit_count_step.html                                                                      | HTML         |        157 |          5 |          5 |        167 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__bitfield_bit_count_step_3_01_l_00_01_t_00_01_q_00_01_aligned_00_01true_01_4-members.html          | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__bitfield_bit_count_step_3_01_l_00_01_t_00_01_q_00_01_aligned_00_01true_01_4.html                  | HTML         |        157 |          5 |          5 |        167 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__bitfield_reverse_step-members.html                                                                | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__bitfield_reverse_step.html                                                                        | HTML         |        157 |          5 |          5 |        167 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__bitfield_reverse_step_3_01_l_00_01_t_00_01_q_00_01_aligned_00_01true_01_4-members.html            | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__bitfield_reverse_step_3_01_l_00_01_t_00_01_q_00_01_aligned_00_01true_01_4.html                    | HTML         |        157 |          5 |          5 |        167 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil-members.html                                                                                 | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil.html                                                                                         | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_multiple.html                                                                                | HTML         |        105 |          5 |          3 |        113 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_multiple_3_01false_00_01false_01_4-members.html                                              | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_multiple_3_01false_00_01false_01_4.html                                                      | HTML         |        152 |          5 |          5 |        162 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_multiple_3_01false_00_01true_01_4-members.html                                               | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_multiple_3_01false_00_01true_01_4.html                                                       | HTML         |        152 |          5 |          5 |        162 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_multiple_3_01true_00_01true_01_4-members.html                                                | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_multiple_3_01true_00_01true_01_4.html                                                        | HTML         |        152 |          5 |          5 |        162 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_power_of_two-members.html                                                                    | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_power_of_two.html                                                                            | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_power_of_two_3_01_l_00_01_t_00_01_q_00_01false_01_4-members.html                             | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_power_of_two_3_01_l_00_01_t_00_01_q_00_01false_01_4.html                                     | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_shift-members.html                                                                           | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_shift.html                                                                                   | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_shift_3_01_l_00_01_t_00_01_q_00_01true_01_4-members.html                                     | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__ceil_shift_3_01_l_00_01_t_00_01_q_00_01true_01_4.html                                             | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__clamp__vector-members.html                                                                        | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__clamp__vector.html                                                                                | HTML         |        157 |          5 |          5 |        167 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_normalize.html                                                                               | HTML         |        105 |          5 |          3 |        113 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_normalize_3_01_l_00_01_t_00_01float_type_00_01_q_00_01false_00_01true_01_4-members.html      | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_normalize_3_01_l_00_01_t_00_01float_type_00_01_q_00_01false_00_01true_01_4.html              | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_normalize_3_01_l_00_01_t_00_01float_type_00_01_q_00_01true_00_01false_01_4-members.html      | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_normalize_3_01_l_00_01_t_00_01float_type_00_01_q_00_01true_00_01false_01_4.html              | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_normalize_3_01_l_00_01_t_00_01float_type_00_01_q_00_01true_00_01true_01_4-members.html       | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_normalize_3_01_l_00_01_t_00_01float_type_00_01_q_00_01true_00_01true_01_4.html               | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_scale.html                                                                                   | HTML         |        105 |          5 |          3 |        113 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_scale_3_01_l_00_01_t_00_01float_type_00_01_q_00_01false_00_01true_01_4-members.html          | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_scale_3_01_l_00_01_t_00_01float_type_00_01_q_00_01false_00_01true_01_4.html                  | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_scale_3_01_l_00_01_t_00_01float_type_00_01_q_00_01true_00_01false_01_4-members.html          | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_scale_3_01_l_00_01_t_00_01float_type_00_01_q_00_01true_00_01false_01_4.html                  | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_scale_3_01_l_00_01_t_00_01float_type_00_01_q_00_01true_00_01true_01_4-members.html           | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__comp_scale_3_01_l_00_01_t_00_01float_type_00_01_q_00_01true_00_01true_01_4.html                   | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__cross-members.html                                                                                | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__cross.html                                                                                        | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__cross__vec2-members.html                                                                          | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__cross__vec2.html                                                                                  | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__determinant.html                                                                                  | HTML         |        105 |          5 |          3 |        113 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__determinant_3_012_00_012_00_01_t_00_01_q_00_01_aligned_01_4-members.html                          | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__determinant_3_012_00_012_00_01_t_00_01_q_00_01_aligned_01_4.html                                  | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__determinant_3_013_00_013_00_01_t_00_01_q_00_01_aligned_01_4-members.html                          | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__determinant_3_013_00_013_00_01_t_00_01_q_00_01_aligned_01_4.html                                  | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__determinant_3_014_00_014_00_01_t_00_01_q_00_01_aligned_01_4-members.html                          | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__determinant_3_014_00_014_00_01_t_00_01_q_00_01_aligned_01_4.html                                  | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__distance-members.html                                                                             | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__distance.html                                                                                     | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__dot.html                                                                                          | HTML         |        105 |          5 |          3 |        113 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__dot_3_01qua_3_01_t_00_01_q_01_4_00_01_t_00_01_aligned_01_4-members.html                           | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__dot_3_01qua_3_01_t_00_01_q_01_4_00_01_t_00_01_aligned_01_4.html                                   | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__dot_3_01vec_3_011_00_01_t_00_01_q_01_4_00_01_t_00_01_aligned_01_4-members.html                    | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__dot_3_01vec_3_011_00_01_t_00_01_q_01_4_00_01_t_00_01_aligned_01_4.html                            | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__dot_3_01vec_3_012_00_01_t_00_01_q_01_4_00_01_t_00_01_aligned_01_4-members.html                    | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__dot_3_01vec_3_012_00_01_t_00_01_q_01_4_00_01_t_00_01_aligned_01_4.html                            | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__dot_3_01vec_3_013_00_01_t_00_01_q_01_4_00_01_t_00_01_aligned_01_4-members.html                    | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__dot_3_01vec_3_013_00_01_t_00_01_q_01_4_00_01_t_00_01_aligned_01_4.html                            | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__dot_3_01vec_3_014_00_01_t_00_01_q_01_4_00_01_t_00_01_aligned_01_4-members.html                    | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__dot_3_01vec_3_014_00_01_t_00_01_q_01_4_00_01_t_00_01_aligned_01_4.html                            | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__equal-members.html                                                                                | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__equal.html                                                                                        | HTML         |        152 |          5 |          6 |        163 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__faceforward-members.html                                                                          | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__faceforward.html                                                                                  | HTML         |        157 |          5 |          5 |        167 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__find_l_s_b-members.html                                                                           | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__find_l_s_b.html                                                                                   | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__find_m_s_b__step__vec-members.html                                                                | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__find_m_s_b__step__vec.html                                                                        | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__find_m_s_b__step__vec_3_01_l_00_01_t_00_01_q_00_01false_01_4-members.html                         | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__find_m_s_b__step__vec_3_01_l_00_01_t_00_01_q_00_01false_01_4.html                                 | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__find_m_s_b__vec-members.html                                                                      | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__find_m_s_b__vec.html                                                                              | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__floor-members.html                                                                                | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__floor.html                                                                                        | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__floor_multiple.html                                                                               | HTML         |        105 |          5 |          3 |        113 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__floor_multiple_3_01false_00_01false_01_4-members.html                                             | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__floor_multiple_3_01false_00_01false_01_4.html                                                     | HTML         |        152 |          5 |          5 |        162 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__floor_multiple_3_01false_00_01true_01_4-members.html                                              | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__floor_multiple_3_01false_00_01true_01_4.html                                                      | HTML         |        152 |          5 |          5 |        162 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__floor_multiple_3_01true_00_01true_01_4-members.html                                               | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__floor_multiple_3_01true_00_01true_01_4.html                                                       | HTML         |        152 |          5 |          5 |        162 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__fmod-members.html                                                                                 | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__fmod.html                                                                                         | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__fmod_3_01_l_00_01_t_00_01_q_00_01false_01_4-members.html                                          | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__fmod_3_01_l_00_01_t_00_01_q_00_01false_01_4.html                                                  | HTML         |        151 |          5 |          5 |        161 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__fract-members.html                                                                                | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__fract.html                                                                                        | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__half.html                                                                                         | HTML         |        105 |          5 |          3 |        113 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__half_3_011_00_01_q_01_4-members.html                                                              | HTML         |        108 |          5 |          4 |        117 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__half_3_011_00_01_q_01_4.html                                                                      | HTML         |        169 |          5 |          7 |        181 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__half_3_012_00_01_q_01_4-members.html                                                              | HTML         |        108 |          5 |          4 |        117 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__half_3_012_00_01_q_01_4.html                                                                      | HTML         |        169 |          5 |          7 |        181 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__half_3_013_00_01_q_01_4-members.html                                                              | HTML         |        108 |          5 |          4 |        117 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__half_3_013_00_01_q_01_4.html                                                                      | HTML         |        169 |          5 |          7 |        181 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__half_3_014_00_01_q_01_4-members.html                                                              | HTML         |        108 |          5 |          4 |        117 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__half_3_014_00_01_q_01_4.html                                                                      | HTML         |        169 |          5 |          7 |        181 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__inverse.html                                                                                      | HTML         |        105 |          5 |          3 |        113 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__inverse_3_012_00_012_00_01_t_00_01_q_00_01_aligned_01_4-members.html                              | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__inverse_3_012_00_012_00_01_t_00_01_q_00_01_aligned_01_4.html                                      | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__inverse_3_013_00_013_00_01_t_00_01_q_00_01_aligned_01_4-members.html                              | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__inverse_3_013_00_013_00_01_t_00_01_q_00_01_aligned_01_4.html                                      | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__inverse_3_014_00_014_00_01_t_00_01_q_00_01_aligned_01_4-members.html                              | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__inverse_3_014_00_014_00_01_t_00_01_q_00_01_aligned_01_4.html                                      | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__inversesqrt-members.html                                                                          | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__inversesqrt.html                                                                                  | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__inversesqrt_3_01_l_00_01float_00_01lowp_00_01_aligned_01_4-members.html                           | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__inversesqrt_3_01_l_00_01float_00_01lowp_00_01_aligned_01_4.html                                   | HTML         |        141 |          5 |          5 |        151 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__is_comp_null.html                                                                                 | HTML         |        105 |          5 |          3 |        113 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__is_comp_null_3_012_00_01_t_00_01_q_01_4-members.html                                              | HTML         |        107 |          5 |          4 |        116 |
| c:\Repos\rayex\docs\html\structglm_1_1detail_1_1compute__is_comp_null_3_012_00_01_t_00_01_q_01_4.html                                                      | HTML         |        151 |          5 |          5 |        161 |
